,lat.x,long.x,soil.depth.upper
1,43.049444,-96.891667,0
2,43.049444,-96.891667,0
3,43.049444,-96.891667,0
4,43.049444,-96.891667,0
5,43.049444,-96.891667,0
6,43.049444,-96.891667,0
7,41.733,-0.7667,0
8,41.733,-0.7667,5
9,41.733,-0.7667,10
10,41.733,-0.7667,0
11,41.733,-0.7667,5
12,41.733,-0.7667,10
13,41.733,-0.7667,0
14,41.733,-0.7667,5
15,41.733,-0.7667,10
16,41.733,-0.7667,0
17,41.733,-0.7667,5
18,41.733,-0.7667,10
19,41.733,-0.7667,0
20,41.733,-0.7667,5
21,41.733,-0.7667,10
22,41.733,-0.7667,0
23,41.733,-0.7667,5
24,41.733,-0.7667,10
25,41.833,1.283,0
26,41.833,1.283,5
27,41.833,1.283,10
28,41.833,1.283,20
29,41.833,1.283,30
30,41.833,1.283,0
31,41.833,1.283,5
32,41.833,1.283,10
33,41.833,1.283,20
34,41.833,1.283,30
35,41.833,1.283,0
36,41.833,1.283,5
37,41.833,1.283,10
38,41.833,1.283,20
39,41.833,1.283,30
40,41.8,1.117,0
41,41.8,1.117,5
42,41.8,1.117,10
43,41.8,1.117,20
44,41.8,1.117,30
45,41.8,1.117,0
46,41.8,1.117,5
47,41.8,1.117,10
48,41.8,1.117,20
49,41.8,1.117,30
50,41.8,1.117,0
51,41.8,1.117,5
52,41.8,1.117,10
53,41.8,1.117,20
54,41.8,1.117,30
55,-29.75,-53.7,0
56,-29.75,-53.7,0
57,-29.75,-53.7,0
58,-30.83333,-51.63333,0
59,-30.83333,-51.63333,0
60,-30.83333,-51.63333,0
61,-30.83333,-51.63333,0
62,-30.83333,-51.63333,0
63,-28.6,-53.66667,0
64,-28.6,-53.66667,0
65,-28.6,-53.66667,0
66,-28.6,-53.66667,0
67,-27.4,-51.21667,0
68,-27.4,-51.21667,0
69,45.50162,-73.5103,0
70,45.50162,-73.5103,8
71,45.50162,-73.5103,16
72,45.50162,-73.5103,0
73,45.50162,-73.5103,8
74,45.50162,-73.5103,16
75,42.45528,-1.81667,0
76,42.45528,-1.81667,5
77,42.45528,-1.81667,0
78,42.45528,-1.81667,5
79,42.45528,-1.81667,0
80,42.45528,-1.81667,5
81,55.2,-119.3833,0
82,55.2,-119.3833,0
83,55.2,-119.3833,0
84,55.2,-119.3833,0
85,55.2,-119.3833,0
86,55.2,-119.3833,0
87,-16.68,-46.57,0
88,-16.68,-46.57,5
89,-16.68,-46.57,10
90,-16.68,-46.57,0
91,-16.68,-46.57,5
92,-16.68,-46.57,10
93,46.8833,96.8,0
94,46.8833,96.8,0
95,46.8833,96.8,0
96,46.8833,96.8,0
97,46.8833,96.8,0
98,46.8833,96.8,0
99,46.8833,96.8,0
100,46.8833,96.8,0
101,46.8833,96.8,0
102,39.04167,-83.03333,0
103,39.04167,-83.03333,7.5
104,39.04167,-83.03333,15
105,39.04167,-83.03333,22.5
106,39.04167,-83.03333,0
107,39.04167,-83.03333,7.5
108,39.04167,-83.03333,15
109,39.04167,-83.03333,22.5
110,39.04167,-83.03333,0
111,39.04167,-83.03333,7.5
112,39.04167,-83.03333,15
113,39.04167,-83.03333,22.5
114,-30.84778,-51.63556,0
115,-30.84778,-51.63556,2.5
116,-30.84778,-51.63556,7.5
117,-30.84778,-51.63556,0
118,-30.84778,-51.63556,2.5
119,-30.84778,-51.63556,7.5
120,-30.84778,-51.63556,0
121,-30.84778,-51.63556,2.5
122,-30.84778,-51.63556,7.5
123,-16.2506,-47.9261,0
124,-16.2506,-47.9261,0
125,-16.2506,-47.9261,0
126,-16.2506,-47.9261,0
127,33.9,-83.4,0
128,33.9,-83.4,5
129,33.9,-83.4,0
130,33.9,-83.4,5
131,42.4058,-85.4023,0
132,42.4058,-85.4023,0
133,-37.75,-58.25,0
134,-37.75,-58.25,0
135,29.6,79.6667,0
136,29.6,79.6667,0
137,-17.94917,-51.72167,0
138,-17.94917,-51.72167,5
139,-17.94917,-51.72167,10
140,-17.94917,-51.72167,20
141,-17.94917,-51.72167,5
142,-17.94917,-51.72167,10
143,-17.94917,-51.72167,20
144,-17.94917,-51.72167,5
145,-17.94917,-51.72167,10
146,-17.94917,-51.72167,20
147,-17.94917,-51.72167,5
148,-17.94917,-51.72167,10
149,-17.94917,-51.72167,20
150,-17.94917,-51.72167,5
151,-17.94917,-51.72167,10
152,-17.94917,-51.72167,20
153,-21.96167,-47.8411,0
154,-21.96167,-47.8411,0
155,-21.96167,-47.8411,0
156,-21.96167,-47.8411,5
157,-21.96167,-47.8411,5
158,-21.96167,-47.8411,5
159,-21.96167,-47.8411,10
160,-21.96167,-47.8411,10
161,-21.96167,-47.8411,10
162,-21.96167,-47.8411,20
163,-21.96167,-47.8411,20
164,-21.96167,-47.8411,20
165,41.74167,-0.771667,0
166,41.74167,-0.771667,5
167,41.74167,-0.771667,20
168,41.74167,-0.771667,0
169,41.74167,-0.771667,5
170,41.74167,-0.771667,20
171,41.74167,-0.771667,0
172,41.74167,-0.771667,5
173,41.74167,-0.771667,20
174,41.73944,-0.775,0
175,41.73944,-0.775,5
176,41.73944,-0.775,20
177,41.73944,-0.775,0
178,41.73944,-0.775,5
179,41.73944,-0.775,20
180,41.73944,-0.775,0
181,41.73944,-0.775,5
182,41.73944,-0.775,20
183,41.96444,-0.083333,0
184,41.96444,-0.083333,5
185,41.96444,-0.083333,20
186,41.96444,-0.083333,0
187,41.96444,-0.083333,5
188,41.96444,-0.083333,20
189,42.56194,-1.123889,0
190,42.56194,-1.123889,5
191,42.56194,-1.123889,20
192,42.56194,-1.123889,0
193,42.56194,-1.123889,5
194,42.56194,-1.123889,20
195,-22.22111,-54.80556,0
196,-22.22111,-54.80556,0
197,-21.61444,-55.16833,0
198,-21.61444,-55.16833,0
199,-20.44278,-54.64639,0
200,-20.44278,-54.64639,0
201,49.6956,-112.8451,0
202,49.6956,-112.8451,0
203,49.6956,-112.8451,0
204,49.8674,-111.3794,0
205,49.8674,-111.3794,0
206,49.8674,-111.3794,0
207,49.8674,-111.3794,0
208,49.8674,-111.3794,0
209,49.8674,-111.3794,0
210,-25.15,-50.15,0
211,-25.15,-50.15,0
212,-25.15,-50.15,5
213,-25.15,-50.15,5
214,-25.15,-50.15,10
215,-25.15,-50.15,10
216,-25.15,-50.15,20
217,-25.15,-50.15,20
218,-25.15,-50.15,60
219,-25.15,-50.15,60
220,-23.18333,-51.18333,0
221,-23.18333,-51.18333,0
222,-23.18333,-51.18333,5
223,-23.18333,-51.18333,5
224,-23.18333,-51.18333,10
225,-23.18333,-51.18333,10
226,-23.18333,-51.18333,20
227,-23.18333,-51.18333,20
228,-23.18333,-51.18333,60
229,-23.18333,-51.18333,60
230,41.1448,-102.9774,0
231,41.1448,-102.9774,0
232,50.53333,-103.5167,0
233,50.53333,-103.5167,0
234,50.53333,-103.5167,0
235,50.53333,-103.5167,0
236,50.53333,-103.5167,0
237,-22.8,-48.416667,0
238,-22.8,-48.416667,0
239,-22.8,-48.416667,0
240,-22.8,-48.416667,0
241,-22.8,-48.416667,5
242,-22.8,-48.416667,5
243,-22.8,-48.416667,5
244,-22.8,-48.416667,5
245,-22.8,-48.416667,10
246,-22.8,-48.416667,10
247,-22.8,-48.416667,10
248,-22.8,-48.416667,10
249,41.8433,-83.53723,0
250,41.8433,-83.53723,0
251,41.78172,-83.76668,0
252,41.78172,-83.76668,0
253,39.08252,-83.0005,0
254,39.08252,-83.0005,0
255,41.8433,-83.53723,5
256,41.8433,-83.53723,5
257,41.78172,-83.76668,5
258,41.78172,-83.76668,5
259,39.08252,-83.0005,5
260,39.08252,-83.0005,5
261,30.3,120.2,0
262,30.3,120.2,10
263,30.3,120.2,20
264,30.3,120.2,0
265,30.3,120.2,10
266,30.3,120.2,20
267,30.3,120.2,0
268,30.3,120.2,10
269,30.3,120.2,20
270,30.3,120.2,0
271,30.3,120.2,10
272,30.3,120.2,20
273,30.3,120.2,0
274,30.3,120.2,10
275,30.3,120.2,20
276,44.966667,9.683333,0
277,44.966667,9.683333,10
278,44.966667,9.683333,0
279,44.966667,9.683333,10
280,44.966667,9.683333,0
281,44.966667,9.683333,10
282,-29.75,-53.7,0
283,-29.75,-53.7,0
284,-29.75,-53.7,0
285,-30.833333,-51.633333,0
286,-30.833333,-51.633333,0
287,-30.833333,-51.633333,0
288,-30.833333,-51.633333,0
289,-30.833333,-51.633333,0
290,-30.833333,-51.633333,0
291,-30.833333,-51.633333,0
292,-30.833333,-51.633333,0
293,-30.833333,-51.633333,0
294,-30.833333,-51.633333,5
295,-30.833333,-51.633333,5
296,-30.833333,-51.633333,5
297,-30.833333,-51.633333,5
298,-30.833333,-51.633333,10
299,-30.833333,-51.633333,10
300,-30.833333,-51.633333,10
301,-30.833333,-51.633333,10
302,41.916667,-88.75,0
303,41.916667,-88.75,0
304,41.916667,-88.75,15
305,41.916667,-88.75,15
306,37.366667,-88.75,0
307,37.366667,-88.75,0
308,37.366667,-88.75,15
309,37.366667,-88.75,15
310,40.1,-88.2,0
311,40.1,-88.2,0
312,40.1,-88.2,15
313,40.1,-88.2,15
314,-28.6,-53.666667,0
315,-28.6,-53.666667,0
316,-28.6,-53.666667,0
317,-28.6,-53.666667,5
318,-28.6,-53.666667,5
319,-28.6,-53.666667,5
320,-28.6,-53.666667,10
321,-28.6,-53.666667,10
322,-28.6,-53.666667,10
323,-28.6,-53.666667,20
324,-28.6,-53.666667,20
325,-28.6,-53.666667,20
326,-28.6,-53.666667,0
327,-28.6,-53.666667,0
328,-28.6,-53.666667,0
329,-28.6,-53.666667,5
330,-28.6,-53.666667,5
331,-28.6,-53.666667,5
332,-28.6,-53.666667,10
333,-28.6,-53.666667,10
334,-28.6,-53.666667,10
335,-28.6,-53.666667,20
336,-28.6,-53.666667,20
337,-28.6,-53.666667,20
338,-28.5457,-54.5515,0
339,-28.5457,-54.5515,5
340,-28.5457,-54.5515,0
341,-28.5457,-54.5515,5
342,-28.5457,-54.5515,0
343,-28.5457,-54.5515,5
344,-28.5457,-54.5515,0
345,-28.5457,-54.5515,5
346,-15.6,-47.7,0
347,-15.6,-47.7,5
348,-15.6,-47.7,10
349,-15.6,-47.7,0
350,-15.6,-47.7,5
351,-15.6,-47.7,10
352,-15.6,-47.7,0
353,-15.6,-47.7,5
354,-15.6,-47.7,10
355,-30.85,-51.633333,0
356,-30.85,-51.633333,0
357,-30.85,-51.633333,0
358,37.833333,114.666667,0
359,37.833333,114.666667,5
360,37.833333,114.666667,10
361,37.833333,114.666667,20
362,37.833333,114.666667,30
363,37.833333,114.666667,0
364,37.833333,114.666667,5
365,37.833333,114.666667,10
366,37.833333,114.666667,20
367,37.833333,114.666667,30
368,37.833333,114.666667,0
369,37.833333,114.666667,5
370,37.833333,114.666667,10
371,37.833333,114.666667,20
372,37.833333,114.666667,30
373,11.466667,93.25,0
374,11.466667,93.25,10
375,11.466667,93.25,20
376,11.466667,93.25,30
377,11.466667,93.25,40
378,11.466667,93.25,0
379,11.466667,93.25,10
380,11.466667,93.25,20
381,11.466667,93.25,30
382,11.466667,93.25,40
383,11.466667,93.25,0
384,11.466667,93.25,10
385,11.466667,93.25,20
386,11.466667,93.25,30
387,11.466667,93.25,40
388,11.466667,93.25,0
389,11.466667,93.25,10
390,11.466667,93.25,20
391,11.466667,93.25,30
392,11.466667,93.25,40
393,-37.75,-58.3,0
394,-37.75,-58.3,5
395,-37.75,-58.3,0
396,-37.75,-58.3,5
397,-25.55,-51.483333,0
398,-25.55,-51.483333,2.5
399,-25.55,-51.483333,5
400,-25.55,-51.483333,10
401,-25.55,-51.483333,40
402,-25.55,-51.483333,80
403,-25.55,-51.483333,0
404,-25.55,-51.483333,2.5
405,-25.55,-51.483333,5
406,-25.55,-51.483333,10
407,-25.55,-51.483333,40
408,-25.55,-51.483333,80
409,-28.266667,-54.216667,0
410,-28.266667,-54.216667,2.5
411,-28.266667,-54.216667,5
412,-28.266667,-54.216667,10
413,-28.266667,-54.216667,40
414,-28.266667,-54.216667,80
415,-28.266667,-54.216667,0
416,-28.266667,-54.216667,2.5
417,-28.266667,-54.216667,5
418,-28.266667,-54.216667,10
419,-28.266667,-54.216667,40
420,-28.266667,-54.216667,80
421,-25.011667,-50.153611,0
422,-25.011667,-50.153611,5
423,-25.011667,-50.153611,10
424,-25.011667,-50.153611,0
425,-25.011667,-50.153611,5
426,-25.011667,-50.153611,10
427,-25.011667,-50.153611,0
428,-25.011667,-50.153611,5
429,-25.011667,-50.153611,10
430,-25.011667,-50.153611,0
431,-25.011667,-50.153611,5
432,-25.011667,-50.153611,10
433,-25.011667,-50.153611,0
434,-25.011667,-50.153611,5
435,-25.011667,-50.153611,10
436,-25.011667,-50.153611,0
437,-25.011667,-50.153611,5
438,-25.011667,-50.153611,10
439,30.53333,-94.43333,0
440,30.53333,-94.43333,0
441,30.53333,-94.43333,0
442,30.53333,-94.43333,0
443,30.53333,-94.43333,0
444,30.53333,-94.43333,0
445,30.53333,-94.43333,5
446,30.53333,-94.43333,5
447,30.53333,-94.43333,5
448,30.53333,-94.43333,5
449,30.53333,-94.43333,5
450,30.53333,-94.43333,5
451,30.53333,-94.43333,15
452,30.53333,-94.43333,15
453,30.53333,-94.43333,15
454,30.53333,-94.43333,15
455,30.53333,-94.43333,15
456,30.53333,-94.43333,15
457,43.506389,124.809167,0
458,43.506389,124.809167,0
459,-32.955833,-61.305,0
460,-32.955833,-61.305,5
461,-32.955833,-61.305,10
462,-32.955833,-61.305,0
463,-32.955833,-61.305,5
464,-32.955833,-61.305,10
465,-32.955833,-61.305,0
466,-32.955833,-61.305,5
467,-32.955833,-61.305,10
468,-32.955833,-61.305,0
469,-32.955833,-61.305,5
470,-32.955833,-61.305,10
471,-32.955833,-61.305,0
472,-32.955833,-61.305,5
473,-32.955833,-61.305,10
474,-15.591667,-47.7,0
475,-15.591667,-47.7,10
476,-15.591667,-47.7,20
477,-15.591667,-47.7,0
478,-15.591667,-47.7,10
479,-15.591667,-47.7,20
480,-15.591667,-47.7,0
481,-15.591667,-47.7,10
482,-15.591667,-47.7,20
483,-15.591667,-47.7,0
484,-15.591667,-47.7,10
485,-15.591667,-47.7,20
486,-15.591667,-47.7,0
487,-15.591667,-47.7,10
488,-15.591667,-47.7,20
489,-36.610542,-63.980061,0
490,-36.610542,-63.980061,0
491,-36.610542,-63.980061,0
492,-36.610542,-63.980061,0
493,-36.610542,-63.980061,6
494,-36.610542,-63.980061,6
495,-36.610542,-63.980061,6
496,-36.610542,-63.980061,6
497,-28.25,-52.4,0
498,-28.25,-52.4,0
499,-28.25,-52.4,0
500,-28.25,-52.4,0
501,-28.25,-52.4,5
502,-28.25,-52.4,5
503,-28.25,-52.4,5
504,-28.25,-52.4,5
505,-28.25,-52.4,10
506,-28.25,-52.4,10
507,-28.25,-52.4,10
508,-28.25,-52.4,10
509,46.8267,-100.8896,0
510,46.8267,-100.8896,0
511,41.1448,-102.9774,0
512,41.1448,-102.9774,0
513,39.3033,-102.6046,0
514,39.3033,-102.6046,0
515,35.1905,-102.0639,0
516,35.1905,-102.0639,0
517,39.1836,-96.5717,0
518,39.1836,-96.5717,0
519,38.0406,-84.5037,0
520,38.0406,-84.5037,0
521,46.8267,-100.8896,5
522,46.8267,-100.8896,5
523,41.1448,-102.9774,5
524,41.1448,-102.9774,5
525,39.3033,-102.6046,5
526,39.3033,-102.6046,5
527,35.1905,-102.0639,5
528,35.1905,-102.0639,5
529,39.1836,-96.5717,5
530,39.1836,-96.5717,5
531,38.0406,-84.5037,5
532,38.0406,-84.5037,5
533,35.2,107.733333,5
534,35.2,107.733333,5
535,35.2,107.733333,5
536,35.2,107.733333,5
537,35.2,107.733333,5
538,35.2,107.733333,5
539,35.2,107.733333,15
540,35.2,107.733333,15
541,35.2,107.733333,15
542,35.2,107.733333,15
543,35.2,107.733333,15
544,35.2,107.733333,15
545,34.5,113,0
546,34.5,113,0
547,34.5,113,0
548,-34.333333,-57.683333,20
549,-34.333333,-57.683333,20
550,-34.333333,-57.683333,40
551,-34.333333,-57.683333,40
552,39.379677,-5.388839,0
553,39.379677,-5.388839,0
554,39.379677,-5.388839,5
555,39.379677,-5.388839,5
556,39.379677,-5.388839,10
557,39.379677,-5.388839,10
558,39.379677,-5.388839,25
559,39.379677,-5.388839,25
560,42.4058,-85.4023,0
561,42.4058,-85.4023,0
562,42.4058,-85.4023,0
563,42.4058,-85.4023,0
564,46.333333,-63.166667,0
565,46.333333,-63.166667,0
566,46.333333,-63.166667,10
567,46.333333,-63.166667,10
568,46.333333,-63.166667,20
569,46.333333,-63.166667,20
570,46.333333,-63.166667,30
571,46.333333,-63.166667,30
572,46.333333,-63.166667,40
573,46.333333,-63.166667,40
574,47.35,-70.033333,0
575,47.35,-70.033333,0
576,47.35,-70.033333,10
577,47.35,-70.033333,10
578,47.35,-70.033333,20
579,47.35,-70.033333,20
580,47.35,-70.033333,30
581,47.35,-70.033333,30
582,47.35,-70.033333,40
583,47.35,-70.033333,40
584,45.366667,-75.716667,0
585,45.366667,-75.716667,0
586,45.366667,-75.716667,10
587,45.366667,-75.716667,10
588,45.366667,-75.716667,20
589,45.366667,-75.716667,20
590,45.366667,-75.716667,30
591,45.366667,-75.716667,30
592,45.366667,-75.716667,40
593,45.366667,-75.716667,40
594,42.216667,-82.733333,0
595,42.216667,-82.733333,0
596,42.216667,-82.733333,10
597,42.216667,-82.733333,10
598,42.216667,-82.733333,20
599,42.216667,-82.733333,20
600,42.216667,-82.733333,30
601,42.216667,-82.733333,30
602,42.216667,-82.733333,40
603,42.216667,-82.733333,40
604,44.8831,-68.6719,0
605,44.8831,-68.6719,0
606,44.8831,-68.6719,0
607,44.8831,-68.6719,0
608,46.6812,-68.0159,0
609,46.6812,-68.0159,0
610,46.6812,-68.0159,0
611,46.6812,-68.0159,0
612,46.6812,-68.0159,0
613,46.6812,-68.0159,0
614,40.8,-82,0
615,41,-84,0
616,42.3,-85.5,0
617,40.8,-82,0
618,41,-84,0
619,42.3,-85.5,0
620,39.379677,-5.388839,0
621,39.379677,-5.388839,0
622,39.379677,-5.388839,5
623,39.379677,-5.388839,5
624,39.379677,-5.388839,10
625,39.379677,-5.388839,10
626,43.5,124.8,0
627,43.5,124.8,0
628,37.4356,-88.6719,0
629,37.4356,-88.6719,0
630,37.4356,-88.6719,0
631,37.4356,-88.6719,5
632,37.4356,-88.6719,5
633,37.4356,-88.6719,5
634,35.96079854,-83.85541618,0
635,35.96079854,-83.85541618,0
636,35.96079854,-83.85541618,0
637,35.96079854,-83.85541618,0
638,35.96079854,-83.85541618,0
639,50.5334,-103.6699,0
640,50.5334,-103.6699,0
641,50.5334,-103.6699,0
